startTime,actual
2025-01-01 00:00:00+00:00,15799
2025-01-01 00:30:00+00:00,15317
2025-01-01 01:00:00+00:00,14992
2025-01-01 01:30:00+00:00,14580
2025-01-01 02:00:00+00:00,14685
2025-01-01 02:30:00+00:00,15020
2025-01-01 03:00:00+00:00,14831
2025-01-01 03:30:00+00:00,15021
2025-01-01 04:00:00+00:00,15078
2025-01-01 04:30:00+00:00,14844
2025-01-01 05:00:00+00:00,14732
2025-01-01 05:30:00+00:00,14897
2025-01-01 06:00:00+00:00,15220
2025-01-01 06:30:00+00:00,15208
2025-01-01 07:00:00+00:00,14793
2025-01-01 07:30:00+00:00,14333
2025-01-01 08:00:00+00:00,14112
2025-01-01 08:30:00+00:00,14301
2025-01-01 09:00:00+00:00,14558
2025-01-01 09:30:00+00:00,14907
2025-01-01 10:00:00+00:00,15026
2025-01-01 10:30:00+00:00,14953
2025-01-01 11:00:00+00:00,14923
2025-01-01 11:30:00+00:00,14908
2025-01-01 12:00:00+00:00,14927
2025-01-01 12:30:00+00:00,15045
2025-01-01 13:00:00+00:00,15258
2025-01-01 13:30:00+00:00,14980
2025-01-01 14:00:00+00:00,15115
2025-01-01 14:30:00+00:00,14464
2025-01-01 15:00:00+00:00,13197
2025-01-01 15:30:00+00:00,12500
2025-01-01 16:00:00+00:00,12818
2025-01-01 16:30:00+00:00,13009
2025-01-01 17:00:00+00:00,12780
2025-01-01 17:30:00+00:00,12730
2025-01-01 18:00:00+00:00,12149
2025-01-01 18:30:00+00:00,12115
2025-01-01 19:00:00+00:00,11929
2025-01-01 19:30:00+00:00,11687
2025-01-01 20:00:00+00:00,11363
2025-01-01 20:30:00+00:00,10726
2025-01-01 21:00:00+00:00,10323
2025-01-01 21:30:00+00:00,9733
2025-01-01 22:00:00+00:00,9466
2025-01-01 22:30:00+00:00,8632
2025-01-01 23:00:00+00:00,8587
2025-01-01 23:30:00+00:00,8389
2025-01-02 00:00:00+00:00,7429
2025-01-02 00:30:00+00:00,7573
2025-01-02 01:00:00+00:00,7494
2025-01-02 01:30:00+00:00,7940
2025-01-02 02:00:00+00:00,8382
2025-01-02 02:30:00+00:00,7557
2025-01-02 03:00:00+00:00,7756
2025-01-02 03:30:00+00:00,8347
2025-01-02 04:00:00+00:00,7796
2025-01-02 04:30:00+00:00,8157
2025-01-02 05:00:00+00:00,8322
2025-01-02 05:30:00+00:00,8713
2025-01-02 06:00:00+00:00,8475
2025-01-02 06:30:00+00:00,7981
2025-01-02 07:00:00+00:00,8362
2025-01-02 07:30:00+00:00,8899
2025-01-02 08:00:00+00:00,9506
2025-01-02 08:30:00+00:00,9139
2025-01-02 09:00:00+00:00,9175
2025-01-02 09:30:00+00:00,9917
2025-01-02 10:00:00+00:00,9771
2025-01-02 10:30:00+00:00,9592
2025-01-02 11:00:00+00:00,9745
2025-01-02 11:30:00+00:00,9745
2025-01-02 12:00:00+00:00,10433
2025-01-02 12:30:00+00:00,10281
2025-01-02 13:00:00+00:00,9657
2025-01-02 13:30:00+00:00,9864
2025-01-02 14:00:00+00:00,9912
